nom_complet,url,nom,extension,numero,image_url,image_status,souhaitée,possédée,Illustrateur,Date de sortie
Pelage-Sablé-ex (Écarlate et Violet Faille Paradoxe 228),https://www.pokepedia.fr/Pelage-Sabl%C3%A9-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20228),Pelage-Sablé-ex,Écarlate et Violet Faille Paradoxe,228,https://www.pokepedia.fr/images/b/b7/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_228.png,OK,False,False,PLANETA Mochizuki,"novembre 3, 2023  +"
Rugit-Lune-ex (Écarlate et Violet Faille Paradoxe 229),https://www.pokepedia.fr/Rugit-Lune-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20229),Rugit-Lune-ex,Écarlate et Violet Faille Paradoxe,229,https://www.pokepedia.fr/images/a/a1/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_229.png,OK,False,False,takuyoa,"novembre 3, 2023  +"
Exagide-ex (Écarlate et Violet Faille Paradoxe 230),https://www.pokepedia.fr/Exagide-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20230),Exagide-ex,Écarlate et Violet Faille Paradoxe,230,https://www.pokepedia.fr/images/4/40/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_230.png,OK,False,False,Satoshi Shirai,"novembre 3, 2023  +"
Gromago-ex (Écarlate et Violet Faille Paradoxe 231),https://www.pokepedia.fr/Gromago-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20231),Gromago-ex,Écarlate et Violet Faille Paradoxe,231,https://www.pokepedia.fr/images/d/d9/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_231.png,OK,False,False,takuyoa,"novembre 3, 2023  +"
Altaria-ex (Écarlate et Violet Faille Paradoxe 232),https://www.pokepedia.fr/Altaria-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20232),Altaria-ex,Écarlate et Violet Faille Paradoxe,232,https://www.pokepedia.fr/images/6/6b/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_232.png,OK,False,False,Saki Hayashiro,"novembre 3, 2023  +"
Famignol-ex (Écarlate et Violet Faille Paradoxe 233),https://www.pokepedia.fr/Famignol-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20233),Famignol-ex,Écarlate et Violet Faille Paradoxe,233,https://www.pokepedia.fr/images/4/49/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_233.png,OK,False,False,5ban Graphics,"novembre 3, 2023  +"
Lestombaile-ex (Écarlate et Violet Faille Paradoxe 234),https://www.pokepedia.fr/Lestombaile-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20234),Lestombaile-ex,Écarlate et Violet Faille Paradoxe,234,https://www.pokepedia.fr/images/9/93/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_234.png,OK,False,False,PLANETA Mochizuki,"novembre 3, 2023  +"
Okuba (Écarlate et Violet Faille Paradoxe 235),https://www.pokepedia.fr/Okuba%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20235),Okuba,Écarlate et Violet Faille Paradoxe,235,https://www.pokepedia.fr/images/c/cc/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_235.png,OK,False,False,Akira Komayama,"novembre 3, 2023  +"
Meloco (Écarlate et Violet Faille Paradoxe 236),https://www.pokepedia.fr/Meloco%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20236),Meloco,Écarlate et Violet Faille Paradoxe,236,https://www.pokepedia.fr/images/2/26/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_236.png,OK,False,False,kirisAki,"novembre 3, 2023  +"
Norman (Écarlate et Violet Faille Paradoxe 237),https://www.pokepedia.fr/Norman%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20237),Norman,Écarlate et Violet Faille Paradoxe,237,https://www.pokepedia.fr/images/0/0c/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_237.png,OK,False,False,Hideki Ishikawa,"novembre 3, 2023  +"
Sœur Parasol (Écarlate et Violet Faille Paradoxe 238),https://www.pokepedia.fr/S%C5%93ur%20Parasol%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20238),Sœur Parasol,Écarlate et Violet Faille Paradoxe,238,https://www.pokepedia.fr/images/0/0e/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_238.png,OK,False,False,Cona Nitanda,"novembre 3, 2023  +"
Vitalité de la Professeure Olim (Écarlate et Violet Faille Paradoxe 239),https://www.pokepedia.fr/Vitalit%C3%A9%20de%20la%20Professeure%20Olim%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20239),Vitalité de la Professeure Olim,Écarlate et Violet Faille Paradoxe,239,https://www.pokepedia.fr/images/b/b1/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_239.png,OK,False,False,Megumi Mizutani,"novembre 3, 2023  +"
Plan du Professeur Turum (Écarlate et Violet Faille Paradoxe 240),https://www.pokepedia.fr/Plan%20du%20Professeur%20Turum%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20240),Plan du Professeur Turum,Écarlate et Violet Faille Paradoxe,240,https://www.pokepedia.fr/images/8/89/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_240.png,OK,False,False,hncl,"novembre 3, 2023  +"
Cayenn (Écarlate et Violet Faille Paradoxe 241),https://www.pokepedia.fr/Cayenn%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20241),Cayenn,Écarlate et Violet Faille Paradoxe,241,https://www.pokepedia.fr/images/4/43/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_241.png,OK,False,False,GIDORA,"novembre 3, 2023  +"
Pierrick (Écarlate et Violet Faille Paradoxe 242),https://www.pokepedia.fr/Pierrick%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20242),Pierrick,Écarlate et Violet Faille Paradoxe,242,https://www.pokepedia.fr/images/9/9b/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_242.png,OK,False,False,Ryuta Fuse,"novembre 3, 2023  +"
Anis (Écarlate et Violet Faille Paradoxe 243),https://www.pokepedia.fr/Anis%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20243),Anis,Écarlate et Violet Faille Paradoxe,243,https://www.pokepedia.fr/images/4/45/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_243.png,OK,False,False,En Morikura,"novembre 3, 2023  +"
Tully (Écarlate et Violet Faille Paradoxe 244),https://www.pokepedia.fr/Tully%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20244),Tully,Écarlate et Violet Faille Paradoxe,244,https://www.pokepedia.fr/images/3/37/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_244.png,OK,False,False,Naoki Saito,"novembre 3, 2023  +"
Carchacrok-ex (Écarlate et Violet Faille Paradoxe 245),https://www.pokepedia.fr/Carchacrok-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20245),Carchacrok-ex,Écarlate et Violet Faille Paradoxe,245,https://www.pokepedia.fr/images/b/b7/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_245.png,OK,False,False,Oswaldo KATO,"novembre 3, 2023  +"
Sarmuraï-ex (Écarlate et Violet Faille Paradoxe 246),https://www.pokepedia.fr/Sarmura%C3%AF-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20246),Sarmuraï-ex,Écarlate et Violet Faille Paradoxe,246,https://www.pokepedia.fr/images/6/62/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_246.png,OK,False,False,Oku,"novembre 3, 2023  +"
Tokorico-ex (Écarlate et Violet Faille Paradoxe 247),https://www.pokepedia.fr/Tokorico-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20247),Tokorico-ex,Écarlate et Violet Faille Paradoxe,247,https://www.pokepedia.fr/images/1/14/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_247.png,OK,False,False,Jerky,"novembre 3, 2023  +"
Paume-de-Fer-ex (Écarlate et Violet Faille Paradoxe 248),https://www.pokepedia.fr/Paume-de-Fer-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20248),Paume-de-Fer-ex,Écarlate et Violet Faille Paradoxe,248,https://www.pokepedia.fr/images/3/3f/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_248.png,OK,False,False,Toshinao Aoki,"novembre 3, 2023  +"
Garde-de-Fer-ex (Écarlate et Violet Faille Paradoxe 249),https://www.pokepedia.fr/Garde-de-Fer-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20249),Garde-de-Fer-ex,Écarlate et Violet Faille Paradoxe,249,https://www.pokepedia.fr/images/5/57/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_249.png,OK,False,False,kantaro,"novembre 3, 2023  +"
Pelage-Sablé-ex (Écarlate et Violet Faille Paradoxe 250),https://www.pokepedia.fr/Pelage-Sabl%C3%A9-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20250),Pelage-Sablé-ex,Écarlate et Violet Faille Paradoxe,250,https://www.pokepedia.fr/images/0/03/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_250.png,OK,False,False,Toshinao Aoki,"novembre 3, 2023  +"
Rugit-Lune-ex (Écarlate et Violet Faille Paradoxe 251),https://www.pokepedia.fr/Rugit-Lune-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20251),Rugit-Lune-ex,Écarlate et Violet Faille Paradoxe,251,https://www.pokepedia.fr/images/4/46/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_251.png,OK,False,False,Ryota Murayama,"novembre 3, 2023  +"
Gromago-ex (Écarlate et Violet Faille Paradoxe 252),https://www.pokepedia.fr/Gromago-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20252),Gromago-ex,Écarlate et Violet Faille Paradoxe,252,https://www.pokepedia.fr/images/c/c5/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_252.png,OK,False,False,Akira Komayama,"novembre 3, 2023  +"
Altaria-ex (Écarlate et Violet Faille Paradoxe 253),https://www.pokepedia.fr/Altaria-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20253),Altaria-ex,Écarlate et Violet Faille Paradoxe,253,https://www.pokepedia.fr/images/a/a2/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_253.png,OK,False,False,Jiro Sasumo,"novembre 3, 2023  +"
Meloco (Écarlate et Violet Faille Paradoxe 254),https://www.pokepedia.fr/Meloco%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20254),Meloco,Écarlate et Violet Faille Paradoxe,254,https://www.pokepedia.fr/images/9/9e/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_254.png,OK,False,False,rika,"novembre 3, 2023  +"
Sœur Parasol (Écarlate et Violet Faille Paradoxe 255),https://www.pokepedia.fr/S%C5%93ur%20Parasol%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20255),Sœur Parasol,Écarlate et Violet Faille Paradoxe,255,https://www.pokepedia.fr/images/f/fb/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_255.png,OK,False,False,En Morikura,"novembre 3, 2023  +"
Vitalité de la Professeure Olim (Écarlate et Violet Faille Paradoxe 256),https://www.pokepedia.fr/Vitalit%C3%A9%20de%20la%20Professeure%20Olim%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20256),Vitalité de la Professeure Olim,Écarlate et Violet Faille Paradoxe,256,https://www.pokepedia.fr/images/5/57/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_256.png,OK,False,False,Ryota Murayama,"novembre 3, 2023  +"
Plan du Professeur Turum (Écarlate et Violet Faille Paradoxe 257),https://www.pokepedia.fr/Plan%20du%20Professeur%20Turum%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20257),Plan du Professeur Turum,Écarlate et Violet Faille Paradoxe,257,https://www.pokepedia.fr/images/f/f2/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_257.png,OK,False,False,Atsushi Furusawa,"novembre 3, 2023  +"
Cayenn (Écarlate et Violet Faille Paradoxe 258),https://www.pokepedia.fr/Cayenn%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20258),Cayenn,Écarlate et Violet Faille Paradoxe,258,https://www.pokepedia.fr/images/0/08/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_258.png,OK,False,False,kantaro,"novembre 3, 2023  +"
Tully (Écarlate et Violet Faille Paradoxe 259),https://www.pokepedia.fr/Tully%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20259),Tully,Écarlate et Violet Faille Paradoxe,259,https://www.pokepedia.fr/images/8/8f/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_259.png,OK,False,False,AKIRA EGAWA,"novembre 3, 2023  +"
Carchacrok-ex (Écarlate et Violet Faille Paradoxe 260),https://www.pokepedia.fr/Carchacrok-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20260),Carchacrok-ex,Écarlate et Violet Faille Paradoxe,260,https://www.pokepedia.fr/images/c/c8/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_260.png,OK,False,False,5ban Graphics,"novembre 3, 2023  +"
Garde-de-Fer-ex (Écarlate et Violet Faille Paradoxe 261),https://www.pokepedia.fr/Garde-de-Fer-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20261),Garde-de-Fer-ex,Écarlate et Violet Faille Paradoxe,261,https://www.pokepedia.fr/images/a/ad/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_261.png,OK,False,False,aky CG Works,"novembre 3, 2023  +"
Rugit-Lune-ex (Écarlate et Violet Faille Paradoxe 262),https://www.pokepedia.fr/Rugit-Lune-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20262),Rugit-Lune-ex,Écarlate et Violet Faille Paradoxe,262,https://www.pokepedia.fr/images/4/44/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_262.png,OK,False,False,takuyoa,"novembre 3, 2023  +"
Terrain de Plage (Écarlate et Violet Faille Paradoxe 263),https://www.pokepedia.fr/Terrain%20de%20Plage%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20263),Terrain de Plage,Écarlate et Violet Faille Paradoxe,263,https://www.pokepedia.fr/images/b/bc/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_263.png,OK,False,False,Oswaldo KATO,"novembre 3, 2023  +"
Attrape-Riposte (Écarlate et Violet Faille Paradoxe 264),https://www.pokepedia.fr/Attrape-Riposte%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20264),Attrape-Riposte,Écarlate et Violet Faille Paradoxe,264,https://www.pokepedia.fr/images/5/53/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_264.png,OK,False,False,Toyste Beach,"novembre 3, 2023  +"
Cape Luxueuse (Écarlate et Violet Faille Paradoxe 265),https://www.pokepedia.fr/Cape%20Luxueuse%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20265),Cape Luxueuse,Écarlate et Violet Faille Paradoxe,265,https://www.pokepedia.fr/images/b/b4/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_265.png,OK,False,False,Toyste Beach,"novembre 3, 2023  +"
Énergie Inversion (Écarlate et Violet Faille Paradoxe 266),https://www.pokepedia.fr/%C3%89nergie%20Inversion%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20266),Énergie Inversion,Écarlate et Violet Faille Paradoxe,266,https://www.pokepedia.fr/images/e/ec/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_266.png,OK,False,False,,"novembre 3, 2023  +"
Hurle-Queue (Promo SV 065),https://www.pokepedia.fr/Hurle-Queue%20(Promo%20SV%20065),Hurle-Queue,Promo SV,065,https://www.pokepedia.fr/images/3/3a/Carte_Promo_SV_065.png,OK,False,False,GIDORA,"novembre 3, 2023  +"
Hotte-de-Fer (Promo SV 066),https://www.pokepedia.fr/Hotte-de-Fer%20(Promo%20SV%20066),Hotte-de-Fer,Promo SV,066,https://www.pokepedia.fr/images/4/4e/Carte_Promo_SV_066.png,OK,False,False,Teeziro,"novembre 3, 2023  +"
